"Gemeindenr"	"gini_steink.2001"	"median_steink.2001"	"primary.2001"	"secondary.2001"	"tertiary.2001"	"tert.2001"	"sek.2001"	"prim.2001"	"rank_median.2001"	"rank_gini.2001"	"gini_steink.2005"	"median_steink.2005"	"primary.2005"	"secondary.2005"	"tertiary.2005"	"tert.2005"	"sek.2005"	"prim.2005"	"rank_median.2005"	"rank_gini.2005"	"gini_steink.2008"	"median_steink.2008"	"primary.2008"	"secondary.2008"	"tertiary.2008"	"tert.2008"	"sek.2008"	"prim.2008"	"rank_median.2008"	"rank_gini.2008"	"gini_steink.1971"	"median_steink.1971"	"primary.1971"	"secondary.1971"	"tertiary.1971"	"tert.1971"	"sek.1971"	"prim.1971"	"rank_median.1971"	"rank_gini.1971"	"gini_steink.1981"	"median_steink.1981"	"primary.1981"	"secondary.1981"	"tertiary.1981"	"tert.1981"	"sek.1981"	"prim.1981"	"rank_median.1981"	"rank_gini.1981"	"gini_steink.1995"	"median_steink.1995"	"primary.1995"	"secondary.1995"	"tertiary.1995"	"tert.1995"	"sek.1995"	"prim.1995"	"rank_median.1995"	"rank_gini.1995"	"diff_gini"	"diff_median"	"diff_primary"	"diff_secondary"	"diff_tertiary"
1701	0.412000000476837	57300	0.0175748620452389	0.341764998507373	0.640660139447389	7426.795462	3961.880229	203.735019	1892.5	1951.5	0.449999988079071	59100	0.0181800848768582	0.302376479912286	0.679443435210856	7950.986733	3538.471719	212.74709	2438	2570.5	0.540000021457672	61800	0.0133082824117879	0.270793509485587	0.715898208102625	10605.979293	4011.785924	197.161225	2418	2618	0.314000010490417	19400							2519	1868.5	0.34400001168251	31300							2537.5	1950	0.358999997377396	52000	0.0241718384978751	0.351324869388244	0.624503292113881	5954.376188	3349.734842	230.468312	2587	2264	668	-119.5	-0.0108635560860872	-0.0805313599026571	0.0913949159887444
1702	0.395999997854233	58600	0.0247251102519703	0.36892334902967	0.60635154071836	3893.593462	2368.984728	158.768505	1926.5	1907.5	0.416999995708466	59600	0.0220134081048339	0.33084518118837	0.647141410706796	3978.639944	2034.043613	135.338928	2460	2471.5	0.421999990940094	62200	0.0200305764649083	0.299284296003107	0.680685127531985	4567.378071	2008.189213	134.404605	2429.5	2396	0.345999985933304	19400							2519	2232.5	0.340000003576279	30800							2484.5	1884.5	0.34400001168251	53250	0.0286062746917624	0.413079540140192	0.558314185168045	3181.120057	2353.613154	162.990654	2647	2059.5	511.5	-55	-0.00857569822685403	-0.113795244137086	0.12237094236394
1703	0.451999992132187	66300	0.0458314609570856	0.283622602357073	0.670545936685842	2210.057471	934.7939	151.056262	2036	1996.5	0.446999996900558	68900	0.0410946910335305	0.259568716785766	0.699336592180704	2526.602487	937.784427	148.469206	2654	2558.5	0.488000005483627	72500	0.0418258223441895	0.254264609203153	0.703909568452658	2663.452645	962.086291	158.260524	2607.5	2558	0.321000009775162	20300							2658.5	1971.5	0.372999995946884	37600							2819	2314.5	0.425999999046326	61300	0.0888342726673723	0.350914605396822	0.560251121935806	1248.679824	782.113539	197.992578	2826	2657	243.5	-211.5	-0.0470084503231829	-0.0966499961936695	0.143658446516852
1704	0.35699999332428	52050	0.183078032387529	0.193012299197675	0.623909668414796	725.60837	224.473745	212.92017	1604.5	1734	0.370999991893768	55250	0.166360240217827	0.167387884647425	0.666251875134748	769.956388	193.442414	192.254813	2167.5	2221.5	0.437000006437302	56650	0.16271483056206	0.168894707247373	0.668390462190567	798.392115	201.744654	194.362794	2097.5	2448	0.280000001192093	17300							1810.5	1416	0.337999999523163	27100							1784.5	1844	0.351999998092651	48150	0.225132523658673	0.182824467636264	0.592043008705063	626.026873	193.318776	238.055357	2295	2184	604	313	-0.0624176930966131	-0.013929760388891	0.0763474534855041
1705	0.398000001907349	57700	0.082646997843586	0.484492596927672	0.432860405228742	333.032163	372.756703	63.58657	1901	1914	0.402999997138977	60300	0.0669122131474047	0.462599441308776	0.470488345543819	366.42565	360.281615	52.112558	2489.5	2419.5	0.428000003099442	60600	0.0610301812505976	0.437907151744684	0.501062667004719	469.535334	410.353623	57.190105	2366	2413	0.305999994277954	18400							2259.5	1766	0.32600000500679	31500							2552.5	1612.5	0.345999985933304	52700	0.0986323629306532	0.425476186754389	0.475891450314958	364.844004	326.192949	75.616879	2621	2093	800.5	-186.5	-0.0376021816800556	0.0124309649902948	0.0251712166897608
1706	0.517000019550323	57000	0.142587331858203	0.261475386103312	0.595937282038485	669.149136	293.598058	160.104415	1879.5	2042.5	0.572000026702881	58200	0.120050371405934	0.254627564084976	0.625322064509091	820.996029	334.304882	157.616185	2393.5	2719.5	0.684000015258789	62500	0.124513322628295	0.283748855645734	0.591737821725971	725.450103	347.866283	152.649027	2439	2698	0.388999998569489	18300							2228	2529.5	0.407999992370605	28200							2044.5	2538.5	0.584999978542328	50600	0.155891343048529	0.304570889360678	0.539537767590794	567.893346	320.577709	164.084262	2508	2876.5	159.5	394.5	-0.0313780204202337	-0.0208220337149433	0.0522000541351771
1707	0.444999992847443	55900	0.0187476756078681	0.326381059206714	0.654871265185418	3296.394095	1642.888692	94.369276	1833.5	1991	0.444000005722046	58300	0.0144218225536652	0.355044684208315	0.63053349323802	3473.800448	1956.048959	79.454199	2400	2554	0.45100000500679	61600	0.0116872987717162	0.417116257647285	0.571196443580998	3889.048232	2839.977844	79.574145	2407.5	2486.5	0.294999986886978	18550							2321.5	1616.5	0.379999995231628	29200							2241	2369.5	0.370999991893768	49800	0.0257610477281133	0.363303881721214	0.610935070550672	2439.706427	1450.81672	102.874097	2448	2369	117	166.5	-0.0140737489563971	0.0538123759260709	-0.0397386269696738
1708	0.397000014781952	60400	0.00736832622246407	0.47985577466925	0.512775899108286	2435.491251	2279.133132	34.996758	1970	1910.5	0.375	61100	0.00637489507142768	0.442379843348428	0.551245261580145	2587.219048	2076.269198	29.919985	2511.5	2258	0.374000012874603	63600	0.00573734698274271	0.407196717907198	0.587065935110059	3006.897463	2085.623956	29.386161	2466	2142.5	0.300999999046326	22500							2821	1704	0.312999993562698	34700							2725.5	1340	0.324000000953674	56200	0.0100356752652731	0.51322364467884	0.476740680055887	1837.730852	1978.364686	38.685329	2747	1657	802.5	-259.5	-0.00429832828253042	-0.106026926771642	0.110325255054173
1709	0.400999993085861	56300	0.0596168282552991	0.372600592221209	0.567782579523492	1128.970202	740.873322	118.54119	1851	1925.5	0.414000004529953	58300	0.0530142303107463	0.341054831075508	0.605930938613746	1232.045601	693.470291	107.794379	2400	2457.5	0.46900001168251	59700	0.0508922343899486	0.304889178118714	0.644218587491337	1396.367839	660.858676	110.310818	2316	2519	0.316000014543533	18800							2391.5	1894	0.368999987840652	29700							2333.5	2270	0.356000006198883	51450	0.0740838813277984	0.334984070603698	0.590932048068504	1022.790415	579.793392	128.225037	2557	2238	249	-17.5	-0.0231916469378499	-0.0300948924849832	0.053286539422833
1710	0.605000019073486	66400	0.105515911058918	0.245571767954244	0.648912320986839	495.675516	187.581448	80.598953	2037.5	2070	0.593999981880188	70500	0.11186649439075	0.337034273656823	0.551099231952427	380.565197	232.741233	77.250143	2677	2732.5	0.671999990940094	77100	0.0986608128855459	0.343082635803722	0.558256551310732	429.708442	264.081997	75.942475	2636	2695	0.435000002384186	19400							2519	2692	0.455000013113022	33100							2656	2699.5	0.451999992132187	59100	0.154726443539635	0.292927091398604	0.552346465061761	362.32608	192.153171	101.496849	2797	2725	-4.5	-20	-0.0560656306540891	0.0501555444051182	0.00591008624897105
